               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.034207,            0.027861,            0.010204,             0.67542,             0.62923,             0.67244,             0.37317,            0.030778,            0.034442,            0.011961,           0.0040103,           0.0040103,             0.05601
                  37,            0.028083,            0.025491,           0.0081536,             0.68495,             0.63604,             0.67948,             0.37874,            0.030664,            0.034375,            0.011698,           0.0040764,           0.0040764,            0.054776
                  38,            0.029191,             0.02899,           0.0076436,             0.71334,             0.63308,             0.68894,              0.3832,            0.030555,            0.034232,            0.011392,           0.0041394,           0.0041394,            0.053539
                  39,             0.02939,            0.033221,           0.0069575,             0.75497,              0.6139,             0.69237,             0.38436,            0.030658,            0.034181,             0.01118,           0.0041993,           0.0041993,            0.052299
                  40,            0.029527,            0.026481,           0.0072018,             0.74966,              0.6218,             0.69527,             0.38665,            0.030553,            0.034134,            0.010964,            0.004256,            0.004256,            0.051056
                  41,            0.030073,            0.032651,           0.0059583,             0.73873,             0.63331,             0.69767,             0.38537,            0.030653,            0.034299,            0.010853,           0.0043096,           0.0043096,             0.04981
                  42,            0.032061,             0.02723,           0.0055985,             0.79315,             0.61354,             0.70483,             0.38287,            0.030927,            0.034246,            0.010632,           0.0043599,           0.0043599,             0.04856
                  43,            0.031128,            0.028533,           0.0074674,             0.76547,             0.63012,             0.70623,              0.3899,            0.030601,            0.033846,            0.010592,            0.004407,            0.004407,            0.047307
                  44,            0.029693,            0.029062,            0.005834,             0.74759,             0.64388,             0.70763,             0.39638,            0.030608,            0.033816,            0.010685,           0.0044508,           0.0044508,            0.046051
                  45,            0.028591,            0.024196,           0.0066279,             0.77685,             0.64001,             0.71303,             0.39186,            0.030653,            0.033757,            0.010572,           0.0044914,           0.0044914,            0.044791
                  46,            0.031093,            0.031083,           0.0060634,             0.78232,             0.64128,             0.71377,             0.40015,            0.030469,            0.033816,            0.010753,           0.0045286,           0.0045286,            0.043529
                  47,            0.028308,            0.020676,           0.0053346,             0.78232,             0.64128,             0.71377,             0.40015,            0.030469,            0.033817,            0.010753,           0.0045626,           0.0045626,            0.042263
                  48,            0.033479,            0.029161,           0.0045543,             0.76808,             0.65081,             0.71537,             0.39687,            0.031285,            0.034055,            0.010692,           0.0045932,           0.0045932,            0.040993
                  49,            0.028925,             0.02524,            0.004716,             0.75613,             0.65705,             0.71523,             0.39316,            0.031776,            0.034261,            0.010752,           0.0046206,           0.0046206,            0.039721
